en,zh-Hans,pos,description,notes
"House Branch","树枝氏族","","",""
"Puff fish","充气鱼(动物)","","",""
"Direwolf","冰原狼","","",""
"Rock King","磐岩王","","",""
"Gatehouse Tower","城门塔","","",""
"Shrouded Lord","裹尸布大王","","",""
"Aggar","阿加","","",""
"Terrence Toyne","特伦斯·托因","","",""
"Omber","奥柏王国","","",""
"Barsena","巴尔塞娜","","",""
"Six Maids in a Pool","六女同池","","",""
"Mutiny at Castle Black","黑城堡兵变","","",""
"Harvest Hall","丰收厅","","",""
"Temple of the Graces","圣恩神庙","","",""
"Lothor Brune","罗索·布伦","","",""
"Stonesnake","石蛇","","",""
"Edmund Ambrose","艾德蒙·安布罗斯","","",""
"The King Without Courage","没勇气的国王","","",""
"Nettles","蓖麻","","",""
"Yaros","雅洛斯岛","","",""
"Bryan Frey","布莱恩·佛雷","","",""
"Michael Manwoody","迈克尔·曼伍笛","","",""
"Garth Hightower","加尔斯·海塔尔","","",""
"Pykewood Peake","派克伍德·培克","","",""
"House Graceford","格雷佛德家族","","",""
"Great Sand Sea","大沙海","","",""
"Mercenary","雇佣兵","","",""
"Mandon Moore","曼登·穆尔","","",""
"Bastard's Cradle","野种湾","","",""
"Lothar Frey","罗索·佛雷","","",""
"Nymeria (disambiguation)","娜梅莉亚(消歧义)","","",""
"House Crabb","克莱勃家族","","",""
"Faceless Men","无面者","","",""
"House Forrester","森林氏族(Telltale系列游戏)","","",""
"Myrtle","密瑞蕾","","",""
"Horn Hill","角陵","","",""
"Loreza Sand","萝芮·沙德","","",""
"Greenfield","绿地城","","",""
"Dormund","多蒙德","","",""
"Kennet","肯内特","","",""
"Dog's Nose","狗鼻号","","",""
"Nysterica","娜丝特瑞卡","","",""
"Denyse Hightower","丹妮斯·海塔尔","","",""
"Ghiscari Dawn","红神之怒号","","",""
"Gift","赠地","","",""
"Spare Boot","省靴","","",""
"Fallen Leaves","飘零的叶子","","",""
"Vale","谷地","","",""
"Lymond Lychester","莱蒙·莱彻斯特","","",""
"Faezhar zo Faez","法扎哈·佐·法扎","","",""
"Hedge knight","雇佣骑士(职业)","","",""
"Garin (Orphan)","盖林(孤儿)","","",""
"Owen Norrey","欧文·诺瑞","","",""
"Longwater Pyke","伟维水·派克","","",""
"Sarra Frey","撒拉·佛雷","","",""
"Bold Wind","烈风号","","",""
"Dog","狗儿","","",""
"Currency","货币","","",""
"House Bole","树干氏族","","",""
"Volantis","瓦兰提斯","","",""
"Vaes Tolorro","维斯·托罗若","","",""
"Toefinger","手指脚","","",""
"Joffrey Lonmouth","乔佛里·隆莫斯","","",""
"Hammer","锤子","","",""
"Victor Tyrell","维克多·提利尔","","",""
"Davos Deddings","戴佛斯·戴丁斯","","",""
"Woodswatch-by-the-Pool","水滨寨","","",""
